Contrast,Correlation,Energy,Homogeneity,R_mean,G_mean,B_mean,H_mean,S_mean,V_mean,Area,Perimeter,Mean,StdDev,Label
357.18706219643934,0.908855258781601,0.6765555966587111,0.7417004578964174,129.9827880859375,129.9827880859375,129.9827880859375,0.0,0.0,129.9827880859375,20651,2389.1412580013275,28.351852416992188,44.23643874390057,acne
380.1644974557855,0.7970292743568534,0.7169625069774397,0.8138701521611031,144.73377990722656,144.73377990722656,144.73377990722656,0.0,0.0,144.73377990722656,17975,2867.3809324502945,13.335586547851562,30.586679939168416,acne
532.9586387484641,0.8534577660149438,0.6694979627721397,0.7292966529584057,161.34100341796875,161.34100341796875,161.34100341796875,0.0,0.0,161.34100341796875,20743,2659.790095448494,25.110595703125,42.65374921168251,acne
566.3607712681335,0.8757062142807543,0.6721978219125069,0.7349231760618188,127.95359802246094,127.95359802246094,127.95359802246094,0.0,0.0,127.95359802246094,20521,3326.594136595726,31.340972900390625,47.81594028350842,acne
390.6174897459083,0.8862236862731283,0.6151579908804017,0.690361478699616,121.03816223144531,121.03816223144531,121.03816223144531,0.0,0.0,121.03816223144531,24291,2231.6336793899536,27.88897705078125,41.36711155066754,acne
181.38844621325535,0.8115675544235188,0.7795706234040994,0.8705032082367982,99.33438110351562,99.33438110351562,99.33438110351562,0.0,0.0,99.33438110351562,13861,2279.751427769661,8.23876953125,21.998779864505266,acne
836.1954296655953,0.8255022592685984,0.6864027842861398,0.7342067563252842,130.81967163085938,130.81967163085938,130.81967163085938,0.0,0.0,130.81967163085938,19018,4312.958701372147,30.39312744140625,49.052612313611014,acne
608.4171152420731,0.8769079509873661,0.6959829962059881,0.7433713258025156,149.5159912109375,149.5159912109375,149.5159912109375,0.0,0.0,149.5159912109375,19090,3017.966719150543,30.025619506835938,49.70948989880371,acne
735.9772954104948,0.7998824308219143,0.5914498010690207,0.6358098074026614,115.33778381347656,115.33778381347656,115.33778381347656,0.0,0.0,115.33778381347656,25073,3608.944422483444,31.145217895507812,42.89781342049842,acne
623.2493738367342,0.9179246416513674,0.30863237827542556,0.4796368947700002,147.62225341796875,147.62225341796875,147.62225341796875,0.0,0.0,147.62225341796875,44453,1673.4183876514435,81.9010009765625,61.67783425393485,acne
496.96898541240876,0.8489985205901593,0.67482822575791,0.7361144621938053,158.2882843017578,158.2882843017578,158.2882843017578,0.0,0.0,158.2882843017578,20404,2636.1332387924194,23.466567993164062,40.578513583239314,acne
923.9492528934446,0.8141625347650436,0.5855543882902492,0.657280951808774,111.48800659179688,111.48800659179688,111.48800659179688,0.0,0.0,111.48800659179688,25076,4676.213534355164,38.48799133300781,49.86747643638802,acne
1145.8076344457568,0.8465519732462916,0.6092833769474659,0.6788809116349046,149.62051391601562,149.62051391601562,149.62051391601562,0.0,0.0,149.62051391601562,23936,3857.6307142972946,45.46507263183594,61.18907605223197,acne
